,title,publication_info,cited_by
511,"Andrew ng, ai minimalist: The machine-learning pioneer says small is the new big","E Strickland - IEEE spectrum, 2022 - ieeexplore.ieee.org",Cited by 101
512,"The carbon footprint of machine learning training will plateau, then shrink","D Patterson, J Gonzalez, U Hölzle, Q Le, C Liang… - Computer, 2022 - ieeexplore.ieee.org",Cited by 289
513,Machine learning for ECG diagnosis and risk stratification of occlusion myocardial infarction,"SS Al-Zaiti, C Martin-Gill, JK Zègre-Hemsey, Z Bouzid… - Nature Medicine, 2023 - nature.com",Cited by 72
514,Early diagnosis of brain tumour mri images using hybrid techniques between deep and machine learning,"EM Senan, ME Jadhav, TH Rassem… - … Methods in Medicine, 2022 - Wiley Online Library",Cited by 91
515,Machine learning‐based modeling in food processing applications: State of the art,"MIH Khan, SS Sablani, R Nayak… - … reviews in food science …, 2022 - Wiley Online Library",Cited by 57
516,Enhancing heart disease prediction accuracy through machine learning techniques and optimization,"N Chandrasekhar, S Peddakrishna - Processes, 2023 - mdpi.com",Cited by 87
517,Liver disease prediction using machine learning classification techniques,"K Gupta, N Jiwani, N Afreen… - 2022 IEEE 11th …, 2022 - ieeexplore.ieee.org",Cited by 82
518,Machine learning and smart devices for diabetes management: Systematic review,"MA Makroum, M Adda, A Bouzouane, H Ibrahim - Sensors, 2022 - mdpi.com",Cited by 95
519,[Retracted] Monitoring Cardiovascular Problems in Heart Patients Using Machine Learning,"A Al Ahdal, M Rakhra, RR Rajendran… - Journal of healthcare …, 2023 - Wiley Online Library",Cited by 34
520,Recent advances in thermal imaging and its applications using machine learning: A review,"AN Wilson, KA Gupta, BH Koduru, A Kumar… - IEEE Sensors …, 2023 - ieeexplore.ieee.org",Cited by 48
521,Modern applications of machine learning in quantum sciences,"A Dawid, J Arnold, B Requena, A Gresch… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 66
522,A unified framework for machine learning collective variables for enhanced sampling simulations: mlcolvar,"L Bonati, E Trizio, A Rizzi, M Parrinello - The Journal of Chemical …, 2023 - pubs.aip.org",Cited by 31
523,Bug characterization in machine learning-based systems,"MM Morovati, A Nikanjam, F Tambon, F Khomh… - Empirical Software …, 2024 - Springer",Cited by 28
524,A predictive analysis of heart rates using machine learning techniques,"M Oyeleye, T Chen, S Titarenko… - International Journal of …, 2022 - mdpi.com",Cited by 56
525,[HTML][HTML] Early prediction of hypothyroidism and multiclass classification using predictive machine learning and deep learning,"K Guleria, S Sharma, S Kumar, S Tiwari - Measurement: Sensors, 2022 - Elsevier",Cited by 130
526,Machine learning and deep learning in phononic crystals and metamaterials–A review,"J Kennedy, CW Lim - Materials Today Communications, 2022 - Elsevier",Cited by 61
527,[HTML][HTML] Robust machine learning algorithms for predicting coastal water quality index,"MG Uddin, S Nash, MTM Diganta, A Rahman… - Journal of …, 2022 - Elsevier",Cited by 123
528,[PDF][PDF] Breast cancer detection based on thermographic images using machine learning and deep learning algorithms,"VR Allugunti - International Journal of Engineering in Computer …, 2022 - researchgate.net",Cited by 206
529,Machine learning and acute stroke imaging,"SA Sheth, L Giancardo, M Colasurdo… - Journal of …, 2023 - jnis.bmj.com",Cited by 37
530,Machine learning for the study of plankton and marine snow from images,"JO Irisson, SD Ayata, DJ Lindsay… - Annual Review of …, 2022 - annualreviews.org",Cited by 84
531,Phishing website detection with semantic features based on machine learning classifiers: a comparative study,"A Almomani, M Alauthman, MT Shatnawi… - … Journal on Semantic …, 2022 - igi-global.com",Cited by 156
532,How to dp-fy ml: A practical guide to machine learning with differential privacy,"N Ponomareva, H Hazimeh, A Kurakin, Z Xu… - Journal of Artificial …, 2023 - jair.org",Cited by 109
533,Machine learning algorithms for smart and intelligent healthcare system in Society 5.0,"IF Zamzami, K Pathoee, BB Gupta… - … Journal of Intelligent …, 2022 - Wiley Online Library",Cited by 19
534,"[HTML][HTML] Advances of machine learning in multi-energy district communities‒mechanisms, applications and perspectives","Y Zhou - Energy and AI, 2022 - Elsevier",Cited by 55
535,Structural Health Monitoring for impact localisation via machine learning,"F Dipietrangelo, F Nicassio, G Scarselli - Mechanical Systems and Signal …, 2023 - Elsevier",Cited by 45
536,Crime analysis using computer vision approach with machine learning,"P William, A Shrivastava… - … Communications and 5G …, 2023 - Springer",Cited by 59
537,Machine learning and structural health monitoring overview with emerging technology and high-dimensional data source highlights,"A Malekloo, E Ozer, M AlHamaydeh… - Structural Health …, 2022 - journals.sagepub.com",Cited by 313
538,Modeling the machine learning multiverse,"SJ Bell, O Kampman, J Dodge… - Advances in Neural …, 2022 - proceedings.neurips.cc",Cited by 20
539,Artificial intelligence and machine learning in emergency medicine: a narrative review,"B Mueller, T Kinoshita, A Peebles… - Acute medicine & …, 2022 - Wiley Online Library",Cited by 57
540,Predictions of steel price indices through machine learning for the regional northeast Chinese market,"B Jin, X Xu - Neural Computing and Applications, 2024 - Springer",Cited by 5
541,Machine learning-aided operations and communications of unmanned aerial vehicles: A contemporary survey,"H Kurunathan, H Huang, K Li, W Ni… - … Surveys & Tutorials, 2023 - ieeexplore.ieee.org",Cited by 62
542,[HTML][HTML] Modeling the mechanical properties of recycled aggregate concrete using hybrid machine learning algorithms,"Y Peng, C Unluer - Resources, Conservation and Recycling, 2023 - Elsevier",Cited by 75
543,Wireless sensor networks in agriculture through machine learning: A survey,"MM Rahaman, M Azharuddin - Computers and Electronics in Agriculture, 2022 - Elsevier",Cited by 43
544,A Comparative Study of Machine Learning classifiers to analyze the Precision of Myocardial Infarction prediction,"RH Khan, J Miah, SAA Nipun… - 2023 IEEE 13th Annual …, 2023 - ieeexplore.ieee.org",Cited by 30
545,DiversityScanner: Robotic handling of small invertebrates with machine learning methods,"L Wührl, C Pylatiuk, M Giersch, F Lapp… - Molecular ecology …, 2022 - Wiley Online Library",Cited by 70
546,[Retracted] Performance of Machine Learning and Image Processing in Plant Leaf Disease Detection,"AS Zamani, L Anand, KP Rane, P Prabhu… - Journal of Food …, 2022 - Wiley Online Library",Cited by 125
547,"A state-of-the-art review on machine learning-based multiscale modeling, simulation, homogenization and design of materials","D Bishara, Y Xie, WK Liu, S Li - Archives of computational methods in …, 2023 - Springer",Cited by 77
548,Machine learning in precision diabetes care and cardiovascular risk prediction,"EK Oikonomou, R Khera - Cardiovascular Diabetology, 2023 - Springer",Cited by 32
549,[HTML][HTML] … of immune microenvironment subtypes and signature genes for Alzheimer's disease diagnosis and risk prediction based on explainable machine learning,"Y Lai, P Lin, F Lin, M Chen, C Lin, X Lin, L Wu… - Frontiers in …, 2022 - frontiersin.org",Cited by 30
550,An interpretable machine learning approach for hepatitis b diagnosis,"G Obaido, B Ogbuokiri, TG Swart, N Ayawei… - Applied sciences, 2022 - mdpi.com",Cited by 50
551,Artificial intelligence and machine learning for quantum technologies,"M Krenn, J Landgraf, T Foesel, F Marquardt - Physical Review A, 2023 - APS",Cited by 87
552,A review on recent developments in cancer detection using Machine Learning and Deep Learning models,"S Maurya, S Tiwari, MC Mothukuri, CM Tangeda… - … Signal Processing and …, 2023 - Elsevier",Cited by 50
553,Computational technique based on machine learning and image processing for medical image analysis of breast cancer diagnosis,"VDP Jasti, AS Zamani, K Arumugam… - Security and …, 2022 - Wiley Online Library",Cited by 146
554,Detection of sql injection attack using machine learning techniques: a systematic literature review,"M Alghawazi, D Alghazzawi, S Alarifi - Journal of Cybersecurity and …, 2022 - mdpi.com",Cited by 85
555,Metaverse and healthcare: Machine learning-enabled digital twins of cancer,"O Moztarzadeh, M Jamshidi, S Sargolzaei, A Jamshidi… - Bioengineering, 2023 - mdpi.com",Cited by 69
556,[HTML][HTML] Machine learning in petrophysics: Advantages and limitations,"C Xu, L Fu, T Lin, W Li, S Ma - Artificial Intelligence in Geosciences, 2022 - Elsevier",Cited by 18
557,Graph filters for signal processing and machine learning on graphs,"E Isufi, F Gama, DI Shuman… - IEEE Transactions on …, 2024 - ieeexplore.ieee.org",Cited by 54
558,[HTML][HTML] How machine learning is used to study addiction in digital healthcare: A systematic review,"B Chhetri, LM Goyal, M Mittal - International Journal of Information …, 2023 - Elsevier",Cited by 26
559,Prediction of peptide mass spectral libraries with machine learning,"J Cox - Nature Biotechnology, 2023 - nature.com",Cited by 57
560,Rainfall prediction system using machine learning fusion for smart cities,"A Rahman, S Abbas, M Gollapalli, R Ahmed, S Aftab… - Sensors, 2022 - mdpi.com",Cited by 108
561,[HTML][HTML] A machine learning-based intrusion detection for detecting internet of things network attacks,"YK Saheed, AI Abiodun, S Misra, MK Holone… - Alexandria Engineering …, 2022 - Elsevier",Cited by 199
562,[HTML][HTML] MapReduce based intelligent model for intrusion detection using machine learning technique,"M Asif, S Abbas, MA Khan, A Fatima, MA Khan… - Journal of King Saud …, 2022 - Elsevier",Cited by 179
563,Machine-learning atomic simulation for heterogeneous catalysis,"D Chen, C Shang, ZP Liu - npj Computational Materials, 2023 - nature.com",Cited by 40
564,Machine learning activation energies of chemical reactions,"T Lewis‐Atwell, PA Townsend… - Wiley Interdisciplinary …, 2022 - Wiley Online Library",Cited by 52
565,Wheat seed classification: utilizing ensemble machine learning approach,"A Khatri, S Agrawal, JM Chatterjee - Scientific programming, 2022 - Wiley Online Library",Cited by 51
566,Machine learning-assisted approaches in modernized plant breeding programs,"M Yoosefzadeh Najafabadi, M Hesami, M Eskandari - Genes, 2023 - mdpi.com",Cited by 37
567,Predicting the quality of air with machine learning approaches: Current research priorities and future perspectives,"K Mehmood, Y Bao, W Cheng, MA Khan… - Journal of Cleaner …, 2022 - Elsevier",Cited by 31
568,Applications of machine learning in thermochemical conversion of biomass-A review,"SR Naqvi, Z Ullah, SAA Taqvi, MNA Khan, W Farooq… - Fuel, 2023 - Elsevier",Cited by 111
569,Machine learning techniques to detect a DDoS attack in SDN: A systematic review,"TE Ali, YW Chong, S Manickam - Applied Sciences, 2023 - mdpi.com",Cited by 76
570,Machine learning and the Internet of Things security: Solutions and open challenges,"U Farooq, N Tariq, M Asim, T Baker… - Journal of Parallel and …, 2022 - Elsevier",Cited by 54
571,[HTML][HTML] Performance analysis of the water quality index model for predicting water state using machine learning techniques,"MG Uddin, S Nash, A Rahman, AI Olbert - Process Safety and …, 2023 - Elsevier",Cited by 122
572,The role of machine learning in enhancing computer vision processing,"C Guo, Y Zhao, T Liu, C Yang - … ВОПРОСЫ СОВРЕМЕННЫХ НАУЧНЫХ …, 2023 - elibrary.ru",Cited by 19
573,A survey of machine learning for computer architecture and systems,"N Wu, Y Xie - ACM Computing Surveys (CSUR), 2022 - dl.acm.org",Cited by 75
574,Data Versioning and Its Impact on Machine Learning Models,"MR Pulicharla - Journal of Science & Technology, 2024 - thesciencebrigade.com",Cited by 38
575,[HTML][HTML] Solar photovoltaic power prediction using different machine learning methods,"B Zazoum - Energy Reports, 2022 - Elsevier",Cited by 119
576,Leveraging Natural Language Processing and Machine Learning for Enhanced Content Rating,"BY Kasula - International Meridian Journal, 2023 - meridianjournal.in",Cited by 24
577,Counting carbon: A survey of factors influencing the emissions of machine learning,"AS Luccioni, A Hernandez-Garcia - arXiv preprint arXiv:2302.08476, 2023 - arxiv.org",Cited by 44
578,Foundations of machine learning for low-temperature plasmas: methods and case studies,"AD Bonzanini, K Shao, DB Graves… - Plasma Sources …, 2023 - iopscience.iop.org",Cited by 20
579,[HTML][HTML] A machine learning method for the evaluation of ship grounding risk in real operational conditions,"M Zhang, P Kujala, S Hirdaris - Reliability Engineering & System Safety, 2022 - Elsevier",Cited by 78
580,Towards leveraging the role of machine learning and artificial intelligence in precision agriculture and smart farming,"TA Shaikh, T Rasool, FR Lone - Computers and Electronics in Agriculture, 2022 - Elsevier",Cited by 401
581,[HTML][HTML] Missing data is poorly handled and reported in prediction model studies using machine learning: a literature review,"SWJ Nijman, AM Leeuwenberg, I Beekers… - Journal of clinical …, 2022 - Elsevier",Cited by 122
582,A database of ultrastable MOFs reassembled from stable fragments with machine learning models,"A Nandy, S Yue, C Oh, C Duan, GG Terrones… - Matter, 2023 - cell.com",Cited by 29
583,Machine learning for risk and resilience assessment in structural engineering: Progress and future trends,"X Wang, RK Mazumder, B Salarieh… - Journal of Structural …, 2022 - ascelibrary.org",Cited by 87
584,[HTML][HTML] A machine learning method for predicting the chloride migration coefficient of concrete,"WZ Taffese, L Espinosa-Leal - Construction and Building Materials, 2022 - Elsevier",Cited by 52
585,Code generation using machine learning: A systematic review,"E Dehaerne, B Dey, S Halder, S De Gendt… - Ieee …, 2022 - ieeexplore.ieee.org",Cited by 52
586,Machine learning models to predict the tunnel wall convergence,"J Zhou, Y Chen, C Li, Y Qiu, S Huang, M Tao - Transportation Geotechnics, 2023 - Elsevier",Cited by 26
587,Taxonomy of machine learning safety: A survey and primer,"S Mohseni, H Wang, C Xiao, Z Yu, Z Wang… - ACM Computing …, 2022 - dl.acm.org",Cited by 38
588,Network Security in Cyberspace Using Machine Learning Techniques,"CS Ranganathan, R Raman, KK Sutaria… - 2023 7th …, 2023 - ieeexplore.ieee.org",Cited by 32
589,[HTML][HTML] Air Quality Index prediction using machine learning for Ahmedabad city,"NN Maltare, S Vahora - Digital Chemical Engineering, 2023 - Elsevier",Cited by 46
590,Machine learning in the prediction of medical inpatient length of stay,"S Bacchi, Y Tan, L Oakden‐Rayner… - Internal medicine …, 2022 - Wiley Online Library",Cited by 73
591,Literature review of breast cancer detection using machine learning algorithms,"BS Abunasser, MRJ AL-Hiealy, IS Zaqout… - AIP Conference …, 2023 - pubs.aip.org",Cited by 30
592,Machine learning and phone data can improve targeting of humanitarian aid,"E Aiken, S Bellue, D Karlan, C Udry, JE Blumenstock - Nature, 2022 - nature.com",Cited by 150
593,[HTML][HTML] Perspective: Predicting and optimizing thermal transport properties with machine learning methods,"H Wei, H Bao, X Ruan - Energy and AI, 2022 - Elsevier",Cited by 33
594,Integrating physics-based modeling with machine learning for lithium-ion batteries,"H Tu, S Moura, Y Wang, H Fang - Applied energy, 2023 - Elsevier",Cited by 70
595,Artificial intelligence: Machine learning approach for screening large database and drug discovery,"PP Parvatikar, S Patil, K Khaparkhuntikar, S Patil… - Antiviral Research, 2023 - Elsevier",Cited by 26
596,Systematic review of using machine learning in imputing missing values,"M Alabadla, F Sidi, I Ishak, H Ibrahim… - IEEE …, 2022 - ieeexplore.ieee.org",Cited by 42
597,Optimizing Data Warehousing Performance through Machine Learning Algorithms in the Cloud,"S Ahmadi - International Journal of Science and Research (IJSR), 2023 - papers.ssrn.com",Cited by 43
598,[HTML][HTML] A systematic literature review on modern methods of construction in building: An integrated approach using machine learning,"AJ Sánchez-Garrido, IJ Navarro, J García… - Journal of Building …, 2023 - Elsevier",Cited by 25
599,"[HTML][HTML] Big data, machine learning, and digital twin assisted additive manufacturing: A review","L Jin, X Zhai, K Wang, K Zhang, D Wu, A Nazir, J Jiang… - Materials & Design, 2024 - Elsevier",Cited by 10
600,"Past, present, and future of sustainable finance: insights from big data analytics through machine learning of scholarly research","S Kumar, D Sharma, S Rao, WM Lim… - Annals of Operations …, 2022 - Springer",Cited by 299
601,"Artificial intelligence, machine learning and smart technologies for nondestructive evaluation","H Taheri, M Gonzalez Bocanegra, M Taheri - Sensors, 2022 - mdpi.com",Cited by 45
602,DDoS attacks detection using machine learning and deep learning techniques: Analysis and comparison,"MA Al-Shareeda, S Manickam… - Bulletin of Electrical …, 2023 - mail.beei.org",Cited by 59
603,A literature review of machine learning algorithms for crash injury severity prediction,"K Santos, JP Dias, C Amado - Journal of safety research, 2022 - Elsevier",Cited by 109
604,Predicting electronic structures at any length scale with machine learning,"L Fiedler, NA Modine, S Schmerler, DJ Vogel… - npj Computational …, 2023 - nature.com",Cited by 25
605,Effectiveness of machine learning technology in detecting patterns of certain diseases within patient electronic healthcare records,"DK Sharma, DS Chakravarthi, RSK Boddu… - Proceedings of Second …, 2022 - Springer",Cited by 41
606,Bankruptcy prediction using machine learning techniques,"S Shetty, M Musa, X Brédart - Journal of Risk and Financial Management, 2022 - mdpi.com",Cited by 66
607,A review of machine learning methods applied to structural dynamics and vibroacoustic,"BZ Cunha, C Droz, AM Zine, S Foulard… - Mechanical Systems and …, 2023 - Elsevier",Cited by 78
608,Artificial intelligence and machine learning in precision and genomic medicine,"S Quazi - Medical Oncology, 2022 - Springer",Cited by 189
609,Machine learning for emerging infectious disease field responses,"HYR Chiu, CK Hwang, SY Chen, FY Shih, HC Han… - Scientific Reports, 2022 - nature.com",Cited by 42
610,Machine learning for the prediction of acute kidney injury in patients with sepsis,"S Yue, S Li, X Huang, J Liu, X Hou, Y Zhao… - Journal of translational …, 2022 - Springer",Cited by 90
611,Machine learning-based time series models for effective CO2 emission prediction in India,"S Kumari, SK Singh - Environmental Science and Pollution Research, 2023 - Springer",Cited by 89
612,Application of machine learning and deep learning in cybersecurity: An innovative approach,"D Kaushik, M Garg, A Gupta… - … Approach to Modern …, 2022 - taylorfrancis.com",Cited by 32
613,Machine learning in antibacterial drug design,"M Jukič, U Bren - Frontiers in Pharmacology, 2022 - frontiersin.org",Cited by 31
614,[BOOK][B] Knowledge guided machine learning: Accelerating discovery using scientific knowledge and data,"A Karpatne, R Kannan, V Kumar - 2022 - books.google.com",Cited by 56
615,Detection of Deauthentication Threats in Wi-Fi Channels Using Machine Learning Strategies,"R Latha, RM Bommi - … Conference on Data Science, Agents & …, 2022 - ieeexplore.ieee.org",Cited by 54
616,Efficient medical diagnosis of human heart diseases using machine learning techniques with and without GridSearchCV,"GN Ahmad, H Fatima, S Ullah, AS Saidi - IEEE Access, 2022 - ieeexplore.ieee.org",Cited by 134
617,[HTML][HTML] Algorithmic bias in machine learning-based marketing models,"S Akter, YK Dwivedi, S Sajib, K Biswas… - Journal of Business …, 2022 - Elsevier",Cited by 107
618,Evaluation of machine learning algorithm on drinking water quality for better sustainability,"S Kaddoura - Sustainability, 2022 - mdpi.com",Cited by 31
619,Machine-learning-based monitoring and optimization of processing parameters in 3D printing,"TS Tamir, G Xiong, Q Fang, Y Yang… - … Journal of Computer …, 2023 - Taylor & Francis",Cited by 46
620,Synthetic data as an enabler for machine learning applications in medicine,"JF Rajotte, R Bergen, DL Buckeridge, K El Emam, R Ng… - Iscience, 2022 - cell.com",Cited by 43
621,An Overview of Machine Learning for Asset Management.,"Y Lee, JRJ Thompson, JH Kim… - Journal of Portfolio …, 2023 - search.ebscohost.com",Cited by 13
622,[HTML][HTML] Groundwater level prediction using machine learning models: A comprehensive review,"H Tao, MM Hameed, HA Marhoon… - Neurocomputing, 2022 - Elsevier",Cited by 211
623,Evaluating various machine learning algorithms for automated inspection of culverts,"P Mohammadi, A Rashidi, M Malekzadeh… - Engineering Analysis with …, 2023 - Elsevier",Cited by 32
624,SliceTeller: A data slice-driven approach for machine learning model validation,"X Zhang, JP Ono, H Song, L Gou… - IEEE Transactions on …, 2022 - ieeexplore.ieee.org",Cited by 34
625,Explanation of machine learning models using shapley additive explanation and application for real data in hospital,"Y Nohara, K Matsumoto, H Soejima… - Computer Methods and …, 2022 - Elsevier",Cited by 231
626,Toward practices for human-centered machine learning,"S Chancellor - Communications of the ACM, 2023 - dl.acm.org",Cited by 38
627,A systematic review of machine learning techniques for GNSS use cases,"A Siemuri, K Selvan, H Kuusniemi… - … on Aerospace and …, 2022 - ieeexplore.ieee.org",Cited by 34
628,Analyzing sentiments regarding ChatGPT using novel BERT: A machine learning approach,"M Mujahid, F Rustam, R Shafique, V Chunduri… - Information, 2023 - mdpi.com",Cited by 21
629,A survey on fairness for machine learning on graphs,"C Laclau, C Largeron, M Choudhary - arXiv preprint arXiv:2205.05396, 2022 - arxiv.org",Cited by 31
630,Enhanced credit card fraud detection model using machine learning,"NS Alfaiz, SM Fati - Electronics, 2022 - mdpi.com",Cited by 113
631,Determining asthma endotypes and outcomes: Complementing existing clinical practice with modern machine learning,"A Ray, J Das, SE Wenzel - Cell Reports Medicine, 2022 - cell.com",Cited by 23
632,[HTML][HTML] Machine fault detection methods based on machine learning algorithms: A review,"G Ciaburro - Mathematical Biosciences and Engineering, 2022 - aimspress.com",Cited by 30
633,[HTML][HTML] An artificial intelligence model for heart disease detection using machine learning algorithms,"V Chang, VR Bhavani, AQ Xu, MA Hossain - Healthcare Analytics, 2022 - Elsevier",Cited by 179
634,[HTML][HTML] Machine learning for numerical weather and climate modelling: a review,"CO de Burgh-Day… - Geoscientific Model …, 2023 - gmd.copernicus.org",Cited by 37
635,[PDF][PDF] Detection Collision Flows in SDN Based 5G Using Machine Learning Algorithms.,"A Aqdus, R Amin, S Ramzan… - … Materials & Continua, 2023 - cdn.techscience.cn",Cited by 70
636,Machine learning for observational cosmology,"K Moriwaki, T Nishimichi… - Reports on Progress in …, 2023 - iopscience.iop.org",Cited by 14
637,Energy demand forecasting using fused machine learning approaches,"TM Ghazal - Intelligent Automation & Soft …, 2022 - research.skylineuniversity.ac.ae",Cited by 81
638,"Machine learning and deep learning based computational approaches in automatic microorganisms image recognition: methodologies, challenges, and …","P Rani, S Kotwal, J Manhas, V Sharma… - … Methods in Engineering, 2022 - Springer",Cited by 86
639,[HTML][HTML] Machine learning in sustainable ship design and operation: A review,"L Huang, B Pena, Y Liu, E Anderlini - Ocean Engineering, 2022 - Elsevier",Cited by 32
640,Sources of Uncertainty in Machine Learning--A Statisticians' View,"C Gruber, PO Schenk, M Schierholz, F Kreuter… - arXiv preprint arXiv …, 2023 - arxiv.org",Cited by 31
641,[HTML][HTML] Crops yield prediction based on machine learning models: Case of West African countries,"LS Cedric, WYH Adoni, R Aworka, JT Zoueu… - Smart Agricultural …, 2022 - Elsevier",Cited by 114
642,A Novel Approach to Optimize Prediction Method for Chronic Kidney Disease with the Help of Machine Learning Algorithm,"SS Vellela, LR Vuyyuru… - … and Informatics (IC3I …, 2023 - ieeexplore.ieee.org",Cited by 26
643,[HTML][HTML] DEM resolution effects on machine learning performance for flood probability mapping,"M Avand, A Kuriqi, M Khazaei… - Journal of Hydro …, 2022 - Elsevier",Cited by 98
644,Machine learning approach for autonomous detection and classification of COVID-19 virus,"OR Shahin, HH Alshammari, AI Taloba… - Computers and …, 2022 - Elsevier",Cited by 51
645,Machine learning for enhancing transportation security: A comprehensive analysis of electric and flying vehicle systems,"H Alqahtani, G Kumar - Engineering Applications of Artificial Intelligence, 2024 - Elsevier",Cited by 45
646,"Machine learning methods, databases and tools for drug combination prediction","L Wu, Y Wen, D Leng, Q Zhang, C Dai… - Briefings in …, 2022 - academic.oup.com",Cited by 71
647,[HTML][HTML] A survey: Distributed Machine Learning for 5G and beyond,"O Nassef, W Sun, H Purmehdi, M Tatipamula… - Computer Networks, 2022 - Elsevier",Cited by 58
648,Deep learning and machine learning with grid search to predict later occurrence of breast Cancer metastasis using clinical data,"X Jiang, C Xu - Journal of clinical medicine, 2022 - mdpi.com",Cited by 62
649,"A systematic literature review on multimodal machine learning: Applications, challenges, gaps and future directions","A Barua, MU Ahmed, S Begum - IEEE Access, 2023 - ieeexplore.ieee.org",Cited by 33
650,Machine Learning Descriptors for Data‐Driven Catalysis Study,"LH Mou, TT Han, PES Smith, E Sharman… - Advanced …, 2023 - Wiley Online Library",Cited by 32
651,Machine learning methodology for identifying vehicles using image processing,"M Hasanvand, M Nooshyar… - Artificial Intelligence …, 2023 - ojs.bonviewpress.com",Cited by 46
652,[HTML][HTML] Remaining Useful Life prediction and challenges: A literature review on the use of Machine Learning Methods,"C Ferreira, G Gonçalves - Journal of Manufacturing Systems, 2022 - Elsevier",Cited by 141
653,Machine learning assessment under the development of green technology innovation: A perspective of energy transition,"W Chen, W Zou, K Zhong, A Aliyeva - Renewable Energy, 2023 - Elsevier",Cited by 27
654,What is machine learning?,"O Baloglu, SQ Latifi, A Nazha - … of Disease in Childhood-Education and …, 2022 - ep.bmj.com",Cited by 32
655,Machine-learning interpretability techniques for seismic performance assessment of infrastructure systems,"S Mangalathu, K Karthikeyan, DC Feng, JS Jeon - Engineering Structures, 2022 - Elsevier",Cited by 88
656,A comprehensive empirical study of bias mitigation methods for machine learning classifiers,"Z Chen, JM Zhang, F Sarro, M Harman - ACM Transactions on Software …, 2023 - dl.acm.org",Cited by 61
657,Artificial intelligence and machine learning in finance: A bibliometric review,"S Ahmed, MM Alshater, A El Ammari… - Research in International …, 2022 - Elsevier",Cited by 200
658,Machine learning in physics and geometry,"YH He, E Heyes, E Hirst - Artificial Intelligence, 2023 - books.google.com",Cited by 15
659,[BOOK][B] Personalized machine learning,J McAuley - 2022 - books.google.com,Cited by 27
660,[HTML][HTML] Learning from major accidents: A machine learning approach,"N Tamascelli, R Solini, N Paltrinieri… - Computers & Chemical …, 2022 - Elsevier",Cited by 37
661,Ground truth tracings (GTT): On the epistemic limits of machine learning,"EB Kang - Big data & society, 2023 - journals.sagepub.com",Cited by 22
662,When confidence meets accuracy: Exploring the effects of multiple performance indicators on trust in machine learning models,"A Rechkemmer, M Yin - Proceedings of the 2022 chi conference on …, 2022 - dl.acm.org",Cited by 80
663,FuXi: A cascade machine learning forecasting system for 15-day global weather forecast,"L Chen, X Zhong, F Zhang, Y Cheng, Y Xu… - npj Climate and …, 2023 - nature.com",Cited by 60
664,The disagreement problem in explainable machine learning: A practitioner's perspective,"S Krishna, T Han, A Gu, J Pombra, S Jabbari… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 199
665,[HTML][HTML] SurvSHAP (t): time-dependent explanations of machine learning survival models,"M Krzyziński, M Spytek, H Baniecki, P Biecek - Knowledge-Based Systems, 2023 - Elsevier",Cited by 60
666,When smart cities get smarter via machine learning: An in-depth literature review,"SS Band, S Ardabili, M Sookhak… - IEEE …, 2022 - ieeexplore.ieee.org",Cited by 61
667,[HTML][HTML] A predictive analytics approach for stroke prediction using machine learning and neural networks,"S Dev, H Wang, CS Nwosu, N Jain, B Veeravalli… - Healthcare …, 2022 - Elsevier",Cited by 132
668,Disclosure sentiment: Machine learning vs. dictionary methods,"R Frankel, J Jennings, J Lee - Management Science, 2022 - pubsonline.informs.org",Cited by 102
669,Novel machine learning applications on fly ash based concrete: an overview,"G Khambra, P Shukla - Materials Today: Proceedings, 2023 - Elsevier",Cited by 106
670,Machine learning for anxiety detection using biosignals: a review,"L Ancillon, M Elgendi, C Menon - Diagnostics, 2022 - mdpi.com",Cited by 46
671,Change detection in remote sensing image data comparing algebraic and machine learning methods,"A Goswami, D Sharma, H Mathuku, SMP Gangadharan… - Electronics, 2022 - mdpi.com",Cited by 161
672,Machine learning for smart agriculture and precision farming: towards making the fields talk,"TA Shaikh, WA Mir, T Rasool, S Sofi - Archives of Computational Methods …, 2022 - Springer",Cited by 81
673,Adversarial machine learning for network intrusion detection systems: A comprehensive survey,"K He, DD Kim, MR Asghar - IEEE Communications Surveys & …, 2023 - ieeexplore.ieee.org",Cited by 138
674,Robustness of local predictions in atomistic machine learning models,"S Chong, F Grasselli, C Ben Mahmoud… - Journal of Chemical …, 2023 - ACS Publications",Cited by 17
675,[HTML][HTML] APLUS: a Python library for usefulness simulations of machine learning models in healthcare,"M Wornow, EG Ross, A Callahan, NH Shah - Journal of biomedical …, 2023 - Elsevier",Cited by 21
676,The role of artificial intelligence and machine learning amid the COVID-19 pandemic: What lessons are we learning on 4IR and the sustainable development goals,"D Mhlanga - International Journal of Environmental Research and …, 2022 - mdpi.com",Cited by 129
677,Critical tools for machine learning: Working with intersectional critical concepts in machine learning systems design,"G Klumbytė, C Draude, AS Taylor - … of the 2022 ACM Conference on …, 2022 - dl.acm.org",Cited by 23
678,Machine learning and deep learning techniques for breast cancer diagnosis and classification: a comprehensive review of medical imaging studies,"M Radak, HY Lafta, H Fallahi - Journal of Cancer Research and Clinical …, 2023 - Springer",Cited by 39
679,First machine learning gravitational-wave search mock data challenge,"MB Schäfer, O Zelenka, AH Nitz, H Wang, S Wu… - Physical Review D, 2023 - APS",Cited by 43
