,title,authors,year,venue,publisher,citation_count,avg_citations_per_year
518,Machine learning and smart devices for diabetes management: Systematic review,"MA Makroum, M Adda, A Bouzouane, H Ibrahim ",2022 ,Sensors,mdpi.com, 95,32.0
519,[Retracted] Monitoring Cardiovascular Problems in Heart Patients Using Machine Learning,"A Al Ahdal, M Rakhra, RR Rajendran… ",2023 ,Journal of healthcare …,Wiley Online Library, 34,17.0
520,Recent advances in thermal imaging and its applications using machine learning: A review,"AN Wilson, KA Gupta, BH Koduru, A Kumar… ",2023 ,IEEE Sensors …,ieeexplore.ieee.org, 48,24.0
521,Modern applications of machine learning in quantum sciences,"A Dawid, J Arnold, B Requena, A Gresch… ",2022 ,arXiv preprint arXiv …,arxiv.org, 66,22.0
522,A unified framework for machine learning collective variables for enhanced sampling simulations: mlcolvar,"L Bonati, E Trizio, A Rizzi, M Parrinello ",2023 ,The Journal of Chemical …,pubs.aip.org, 31,16.0
523,Bug characterization in machine learning-based systems,"MM Morovati, A Nikanjam, F Tambon, F Khomh… ",2024 ,Empirical Software …,Springer, 28,28.0
524,A predictive analysis of heart rates using machine learning techniques,"M Oyeleye, T Chen, S Titarenko… ",2022 ,International Journal of …,mdpi.com, 56,19.0
525,[HTML][HTML] Early prediction of hypothyroidism and multiclass classification using predictive machine learning and deep learning,"K Guleria, S Sharma, S Kumar, S Tiwari ",2022 ,Measurement: Sensors,Elsevier, 130,43.0
526,Machine learning and deep learning in phononic crystals and metamaterials–A review,"J Kennedy, CW Lim ",2022 ,Materials Today Communications,Elsevier, 61,20.0
527,[HTML][HTML] Robust machine learning algorithms for predicting coastal water quality index,"MG Uddin, S Nash, MTM Diganta, A Rahman… ",2022 ,Journal of …,Elsevier, 123,41.0
528,[PDF][PDF] Breast cancer detection based on thermographic images using machine learning and deep learning algorithms,VR Allugunti ,2022 ,International Journal of Engineering in Computer …,researchgate.net, 206,69.0
529,Machine learning and acute stroke imaging,"SA Sheth, L Giancardo, M Colasurdo… ",2023 ,Journal of …,jnis.bmj.com, 37,18.0
530,Machine learning for the study of plankton and marine snow from images,"JO Irisson, SD Ayata, DJ Lindsay… ",2022 ,Annual Review of …,annualreviews.org, 84,28.0
531,Phishing website detection with semantic features based on machine learning classifiers: a comparative study,"A Almomani, M Alauthman, MT Shatnawi… ",2022 ,… Journal on Semantic …,igi-global.com, 156,52.0
532,How to dp-fy ml: A practical guide to machine learning with differential privacy,"N Ponomareva, H Hazimeh, A Kurakin, Z Xu… ",2023 ,Journal of Artificial …,jair.org, 109,54.0
533,Machine learning algorithms for smart and intelligent healthcare system in Society 5.0,"IF Zamzami, K Pathoee, BB Gupta… ",2022 ,… Journal of Intelligent …,Wiley Online Library, 19,6.0
534,"[HTML][HTML] Advances of machine learning in multi-energy district communities‒mechanisms, applications and perspectives",Y Zhou ,2022 ,Energy and AI,Elsevier, 55,18.0
535,Structural Health Monitoring for impact localisation via machine learning,"F Dipietrangelo, F Nicassio, G Scarselli ",2023 ,Mechanical Systems and Signal …,Elsevier, 45,22.0
536,Crime analysis using computer vision approach with machine learning,"P William, A Shrivastava… ",2023 ,… Communications and 5G …,Springer, 59,30.0
537,Machine learning and structural health monitoring overview with emerging technology and high-dimensional data source highlights,"A Malekloo, E Ozer, M AlHamaydeh… ",2022 ,Structural Health …,journals.sagepub.com, 313,104.0
538,Modeling the machine learning multiverse,"SJ Bell, O Kampman, J Dodge… ",2022 ,Advances in Neural …,proceedings.neurips.cc, 20,7.0
539,Artificial intelligence and machine learning in emergency medicine: a narrative review,"B Mueller, T Kinoshita, A Peebles… ",2022 ,Acute medicine & …,Wiley Online Library, 57,19.0
540,Predictions of steel price indices through machine learning for the regional northeast Chinese market,"B Jin, X Xu ",2024 ,Neural Computing and Applications,Springer, 5,5.0
541,Machine learning-aided operations and communications of unmanned aerial vehicles: A contemporary survey,"H Kurunathan, H Huang, K Li, W Ni… ",2023 ,… Surveys & Tutorials,ieeexplore.ieee.org, 62,31.0
542,[HTML][HTML] Modeling the mechanical properties of recycled aggregate concrete using hybrid machine learning algorithms,"Y Peng, C Unluer ",2023 ,"Resources, Conservation and Recycling",Elsevier, 75,38.0
543,Wireless sensor networks in agriculture through machine learning: A survey,"MM Rahaman, M Azharuddin ",2022 ,Computers and Electronics in Agriculture,Elsevier, 43,14.0
544,A Comparative Study of Machine Learning classifiers to analyze the Precision of Myocardial Infarction prediction,"RH Khan, J Miah, SAA Nipun… ",2023 ,2023 IEEE 13th Annual …,ieeexplore.ieee.org, 30,15.0
545,DiversityScanner: Robotic handling of small invertebrates with machine learning methods,"L Wührl, C Pylatiuk, M Giersch, F Lapp… ",2022 ,Molecular ecology …,Wiley Online Library, 70,23.0
546,[Retracted] Performance of Machine Learning and Image Processing in Plant Leaf Disease Detection,"AS Zamani, L Anand, KP Rane, P Prabhu… ",2022 ,Journal of Food …,Wiley Online Library, 125,42.0
547,"A state-of-the-art review on machine learning-based multiscale modeling, simulation, homogenization and design of materials","D Bishara, Y Xie, WK Liu, S Li ",2023 ,Archives of computational methods in …,Springer, 77,38.0
548,Machine learning in precision diabetes care and cardiovascular risk prediction,"EK Oikonomou, R Khera ",2023 ,Cardiovascular Diabetology,Springer, 32,16.0
549,[HTML][HTML] … of immune microenvironment subtypes and signature genes for Alzheimer's disease diagnosis and risk prediction based on explainable machine learning,"Y Lai, P Lin, F Lin, M Chen, C Lin, X Lin, L Wu… ",2022 ,Frontiers in …,frontiersin.org, 30,10.0
550,An interpretable machine learning approach for hepatitis b diagnosis,"G Obaido, B Ogbuokiri, TG Swart, N Ayawei… ",2022 ,Applied sciences,mdpi.com, 50,17.0
551,Artificial intelligence and machine learning for quantum technologies,"M Krenn, J Landgraf, T Foesel, F Marquardt ",2023 ,Physical Review A,APS, 87,44.0
552,A review on recent developments in cancer detection using Machine Learning and Deep Learning models,"S Maurya, S Tiwari, MC Mothukuri, CM Tangeda… ",2023 ,… Signal Processing and …,Elsevier, 50,25.0
553,Computational technique based on machine learning and image processing for medical image analysis of breast cancer diagnosis,"VDP Jasti, AS Zamani, K Arumugam… ",2022 ,Security and …,Wiley Online Library, 146,49.0
554,Detection of sql injection attack using machine learning techniques: a systematic literature review,"M Alghawazi, D Alghazzawi, S Alarifi ",2022 ,Journal of Cybersecurity and …,mdpi.com, 85,28.0
555,Metaverse and healthcare: Machine learning-enabled digital twins of cancer,"O Moztarzadeh, M Jamshidi, S Sargolzaei, A Jamshidi… ",2023 ,Bioengineering,mdpi.com, 69,34.0
556,[HTML][HTML] Machine learning in petrophysics: Advantages and limitations,"C Xu, L Fu, T Lin, W Li, S Ma ",2022 ,Artificial Intelligence in Geosciences,Elsevier, 18,6.0
557,Graph filters for signal processing and machine learning on graphs,"E Isufi, F Gama, DI Shuman… ",2024 ,IEEE Transactions on …,ieeexplore.ieee.org, 54,54.0
558,[HTML][HTML] How machine learning is used to study addiction in digital healthcare: A systematic review,"B Chhetri, LM Goyal, M Mittal ",2023 ,International Journal of Information …,Elsevier, 26,13.0
559,Prediction of peptide mass spectral libraries with machine learning,J Cox ,2023 ,Nature Biotechnology,nature.com, 57,28.0
560,Rainfall prediction system using machine learning fusion for smart cities,"A Rahman, S Abbas, M Gollapalli, R Ahmed, S Aftab… ",2022 ,Sensors,mdpi.com, 108,36.0
561,[HTML][HTML] A machine learning-based intrusion detection for detecting internet of things network attacks,"YK Saheed, AI Abiodun, S Misra, MK Holone… ",2022 ,Alexandria Engineering …,Elsevier, 199,66.0
562,[HTML][HTML] MapReduce based intelligent model for intrusion detection using machine learning technique,"M Asif, S Abbas, MA Khan, A Fatima, MA Khan… ",2022 ,Journal of King Saud …,Elsevier, 179,60.0
563,Machine-learning atomic simulation for heterogeneous catalysis,"D Chen, C Shang, ZP Liu ",2023 ,npj Computational Materials,nature.com, 40,20.0
564,Machine learning activation energies of chemical reactions,"T Lewis‐Atwell, PA Townsend… ",2022 ,Wiley Interdisciplinary …,Wiley Online Library, 52,17.0
565,Wheat seed classification: utilizing ensemble machine learning approach,"A Khatri, S Agrawal, JM Chatterjee ",2022 ,Scientific programming,Wiley Online Library, 51,17.0
566,Machine learning-assisted approaches in modernized plant breeding programs,"M Yoosefzadeh Najafabadi, M Hesami, M Eskandari ",2023 ,Genes,mdpi.com, 37,18.0
567,Predicting the quality of air with machine learning approaches: Current research priorities and future perspectives,"K Mehmood, Y Bao, W Cheng, MA Khan… ",2022 ,Journal of Cleaner …,Elsevier, 31,10.0
568,Applications of machine learning in thermochemical conversion of biomass-A review,"SR Naqvi, Z Ullah, SAA Taqvi, MNA Khan, W Farooq… ",2023 ,Fuel,Elsevier, 111,56.0
569,Machine learning techniques to detect a DDoS attack in SDN: A systematic review,"TE Ali, YW Chong, S Manickam ",2023 ,Applied Sciences,mdpi.com, 76,38.0
570,Machine learning and the Internet of Things security: Solutions and open challenges,"U Farooq, N Tariq, M Asim, T Baker… ",2022 ,Journal of Parallel and …,Elsevier, 54,18.0
571,[HTML][HTML] Performance analysis of the water quality index model for predicting water state using machine learning techniques,"MG Uddin, S Nash, A Rahman, AI Olbert ",2023 ,Process Safety and …,Elsevier, 122,61.0
572,The role of machine learning in enhancing computer vision processing,"C Guo, Y Zhao, T Liu, C Yang ",2023 ,… ВОПРОСЫ СОВРЕМЕННЫХ НАУЧНЫХ …,elibrary.ru, 19,10.0
573,A survey of machine learning for computer architecture and systems,"N Wu, Y Xie ",2022 ,ACM Computing Surveys (CSUR),dl.acm.org, 75,25.0
574,Data Versioning and Its Impact on Machine Learning Models,MR Pulicharla ,2024 ,Journal of Science & Technology,thesciencebrigade.com, 38,38.0
575,[HTML][HTML] Solar photovoltaic power prediction using different machine learning methods,B Zazoum ,2022 ,Energy Reports,Elsevier, 119,40.0
576,Leveraging Natural Language Processing and Machine Learning for Enhanced Content Rating,BY Kasula ,2023 ,International Meridian Journal,meridianjournal.in, 24,12.0
577,Counting carbon: A survey of factors influencing the emissions of machine learning,"AS Luccioni, A Hernandez-Garcia ",2023 ,arXiv preprint arXiv:2302.08476,arxiv.org, 44,22.0
578,Foundations of machine learning for low-temperature plasmas: methods and case studies,"AD Bonzanini, K Shao, DB Graves… ",2023 ,Plasma Sources …,iopscience.iop.org, 20,10.0
579,[HTML][HTML] A machine learning method for the evaluation of ship grounding risk in real operational conditions,"M Zhang, P Kujala, S Hirdaris ",2022 ,Reliability Engineering & System Safety,Elsevier, 78,26.0
580,Towards leveraging the role of machine learning and artificial intelligence in precision agriculture and smart farming,"TA Shaikh, T Rasool, FR Lone ",2022 ,Computers and Electronics in Agriculture,Elsevier, 401,134.0
581,[HTML][HTML] Missing data is poorly handled and reported in prediction model studies using machine learning: a literature review,"SWJ Nijman, AM Leeuwenberg, I Beekers… ",2022 ,Journal of clinical …,Elsevier, 122,41.0
582,A database of ultrastable MOFs reassembled from stable fragments with machine learning models,"A Nandy, S Yue, C Oh, C Duan, GG Terrones… ",2023 ,Matter,cell.com, 29,14.0
583,Machine learning for risk and resilience assessment in structural engineering: Progress and future trends,"X Wang, RK Mazumder, B Salarieh… ",2022 ,Journal of Structural …,ascelibrary.org, 87,29.0
584,[HTML][HTML] A machine learning method for predicting the chloride migration coefficient of concrete,"WZ Taffese, L Espinosa-Leal ",2022 ,Construction and Building Materials,Elsevier, 52,17.0
585,Code generation using machine learning: A systematic review,"E Dehaerne, B Dey, S Halder, S De Gendt… ",2022 ,Ieee …,ieeexplore.ieee.org, 52,17.0
586,Machine learning models to predict the tunnel wall convergence,"J Zhou, Y Chen, C Li, Y Qiu, S Huang, M Tao ",2023 ,Transportation Geotechnics,Elsevier, 26,13.0
587,Taxonomy of machine learning safety: A survey and primer,"S Mohseni, H Wang, C Xiao, Z Yu, Z Wang… ",2022 ,ACM Computing …,dl.acm.org, 38,13.0
588,Network Security in Cyberspace Using Machine Learning Techniques,"CS Ranganathan, R Raman, KK Sutaria… ",2023 ,2023 7th …,ieeexplore.ieee.org, 32,16.0
589,[HTML][HTML] Air Quality Index prediction using machine learning for Ahmedabad city,"NN Maltare, S Vahora ",2023 ,Digital Chemical Engineering,Elsevier, 46,23.0
590,Machine learning in the prediction of medical inpatient length of stay,"S Bacchi, Y Tan, L Oakden‐Rayner… ",2022 ,Internal medicine …,Wiley Online Library, 73,24.0
591,Literature review of breast cancer detection using machine learning algorithms,"BS Abunasser, MRJ AL-Hiealy, IS Zaqout… ",2023 ,AIP Conference …,pubs.aip.org, 30,15.0
592,Machine learning and phone data can improve targeting of humanitarian aid,"E Aiken, S Bellue, D Karlan, C Udry, JE Blumenstock ",2022 ,Nature,nature.com, 150,50.0
593,[HTML][HTML] Perspective: Predicting and optimizing thermal transport properties with machine learning methods,"H Wei, H Bao, X Ruan ",2022 ,Energy and AI,Elsevier, 33,11.0
594,Integrating physics-based modeling with machine learning for lithium-ion batteries,"H Tu, S Moura, Y Wang, H Fang ",2023 ,Applied energy,Elsevier, 70,35.0
595,Artificial intelligence: Machine learning approach for screening large database and drug discovery,"PP Parvatikar, S Patil, K Khaparkhuntikar, S Patil… ",2023 ,Antiviral Research,Elsevier, 26,13.0
596,Systematic review of using machine learning in imputing missing values,"M Alabadla, F Sidi, I Ishak, H Ibrahim… ",2022 ,IEEE …,ieeexplore.ieee.org, 42,14.0
597,Optimizing Data Warehousing Performance through Machine Learning Algorithms in the Cloud,S Ahmadi ,2023 ,International Journal of Science and Research (IJSR),papers.ssrn.com, 43,22.0
598,[HTML][HTML] A systematic literature review on modern methods of construction in building: An integrated approach using machine learning,"AJ Sánchez-Garrido, IJ Navarro, J García… ",2023 ,Journal of Building …,Elsevier, 25,12.0
599,"[HTML][HTML] Big data, machine learning, and digital twin assisted additive manufacturing: A review","L Jin, X Zhai, K Wang, K Zhang, D Wu, A Nazir, J Jiang… ",2024 ,Materials & Design,Elsevier, 10,10.0
600,"Past, present, and future of sustainable finance: insights from big data analytics through machine learning of scholarly research","S Kumar, D Sharma, S Rao, WM Lim… ",2022 ,Annals of Operations …,Springer, 299,100.0
601,"Artificial intelligence, machine learning and smart technologies for nondestructive evaluation","H Taheri, M Gonzalez Bocanegra, M Taheri ",2022 ,Sensors,mdpi.com, 45,15.0
602,DDoS attacks detection using machine learning and deep learning techniques: Analysis and comparison,"MA Al-Shareeda, S Manickam… ",2023 ,Bulletin of Electrical …,mail.beei.org, 59,30.0
603,A literature review of machine learning algorithms for crash injury severity prediction,"K Santos, JP Dias, C Amado ",2022 ,Journal of safety research,Elsevier, 109,36.0
604,Predicting electronic structures at any length scale with machine learning,"L Fiedler, NA Modine, S Schmerler, DJ Vogel… ",2023 ,npj Computational …,nature.com, 25,12.0
605,Effectiveness of machine learning technology in detecting patterns of certain diseases within patient electronic healthcare records,"DK Sharma, DS Chakravarthi, RSK Boddu… ",2022 ,Proceedings of Second …,Springer, 41,14.0
606,Bankruptcy prediction using machine learning techniques,"S Shetty, M Musa, X Brédart ",2022 ,Journal of Risk and Financial Management,mdpi.com, 66,22.0
607,A review of machine learning methods applied to structural dynamics and vibroacoustic,"BZ Cunha, C Droz, AM Zine, S Foulard… ",2023 ,Mechanical Systems and …,Elsevier, 78,39.0
608,Artificial intelligence and machine learning in precision and genomic medicine,S Quazi ,2022 ,Medical Oncology,Springer, 189,63.0
609,Machine learning for emerging infectious disease field responses,"HYR Chiu, CK Hwang, SY Chen, FY Shih, HC Han… ",2022 ,Scientific Reports,nature.com, 42,14.0
610,Machine learning for the prediction of acute kidney injury in patients with sepsis,"S Yue, S Li, X Huang, J Liu, X Hou, Y Zhao… ",2022 ,Journal of translational …,Springer, 90,30.0
611,Machine learning-based time series models for effective CO2 emission prediction in India,"S Kumari, SK Singh ",2023 ,Environmental Science and Pollution Research,Springer, 89,44.0
612,Application of machine learning and deep learning in cybersecurity: An innovative approach,"D Kaushik, M Garg, A Gupta… ",2022 ,… Approach to Modern …,taylorfrancis.com, 32,11.0
613,Machine learning in antibacterial drug design,"M Jukič, U Bren ",2022 ,Frontiers in Pharmacology,frontiersin.org, 31,10.0
614,[BOOK][B] Knowledge guided machine learning: Accelerating discovery using scientific knowledge and data,"A Karpatne, R Kannan, V Kumar ",2022 ,2022 ,books.google.com, 56,19.0
615,Detection of Deauthentication Threats in Wi-Fi Channels Using Machine Learning Strategies,"R Latha, RM Bommi ",2022 ,"… Conference on Data Science, Agents & …",ieeexplore.ieee.org, 54,18.0
616,Efficient medical diagnosis of human heart diseases using machine learning techniques with and without GridSearchCV,"GN Ahmad, H Fatima, S Ullah, AS Saidi ",2022 ,IEEE Access,ieeexplore.ieee.org, 134,45.0
617,[HTML][HTML] Algorithmic bias in machine learning-based marketing models,"S Akter, YK Dwivedi, S Sajib, K Biswas… ",2022 ,Journal of Business …,Elsevier, 107,36.0
618,Evaluation of machine learning algorithm on drinking water quality for better sustainability,S Kaddoura ,2022 ,Sustainability,mdpi.com, 31,10.0
619,Machine-learning-based monitoring and optimization of processing parameters in 3D printing,"TS Tamir, G Xiong, Q Fang, Y Yang… ",2023 ,… Journal of Computer …,Taylor & Francis, 46,23.0
620,Synthetic data as an enabler for machine learning applications in medicine,"JF Rajotte, R Bergen, DL Buckeridge, K El Emam, R Ng… ",2022 ,Iscience,cell.com, 43,14.0
621,An Overview of Machine Learning for Asset Management.,"Y Lee, JRJ Thompson, JH Kim… ",2023 ,Journal of Portfolio …,search.ebscohost.com, 13,6.0
622,[HTML][HTML] Groundwater level prediction using machine learning models: A comprehensive review,"H Tao, MM Hameed, HA Marhoon… ",2022 ,Neurocomputing,Elsevier, 211,70.0
623,Evaluating various machine learning algorithms for automated inspection of culverts,"P Mohammadi, A Rashidi, M Malekzadeh… ",2023 ,Engineering Analysis with …,Elsevier, 32,16.0
624,SliceTeller: A data slice-driven approach for machine learning model validation,"X Zhang, JP Ono, H Song, L Gou… ",2022 ,IEEE Transactions on …,ieeexplore.ieee.org, 34,11.0
625,Explanation of machine learning models using shapley additive explanation and application for real data in hospital,"Y Nohara, K Matsumoto, H Soejima… ",2022 ,Computer Methods and …,Elsevier, 231,77.0
626,Toward practices for human-centered machine learning,S Chancellor ,2023 ,Communications of the ACM,dl.acm.org, 38,19.0
627,A systematic review of machine learning techniques for GNSS use cases,"A Siemuri, K Selvan, H Kuusniemi… ",2022 ,… on Aerospace and …,ieeexplore.ieee.org, 34,11.0
628,Analyzing sentiments regarding ChatGPT using novel BERT: A machine learning approach,"M Mujahid, F Rustam, R Shafique, V Chunduri… ",2023 ,Information,mdpi.com, 21,10.0
629,A survey on fairness for machine learning on graphs,"C Laclau, C Largeron, M Choudhary ",2022 ,arXiv preprint arXiv:2205.05396,arxiv.org, 31,10.0
630,Enhanced credit card fraud detection model using machine learning,"NS Alfaiz, SM Fati ",2022 ,Electronics,mdpi.com, 113,38.0
631,Determining asthma endotypes and outcomes: Complementing existing clinical practice with modern machine learning,"A Ray, J Das, SE Wenzel ",2022 ,Cell Reports Medicine,cell.com, 23,8.0
632,[HTML][HTML] Machine fault detection methods based on machine learning algorithms: A review,G Ciaburro ,2022 ,Mathematical Biosciences and Engineering,aimspress.com, 30,10.0
633,[HTML][HTML] An artificial intelligence model for heart disease detection using machine learning algorithms,"V Chang, VR Bhavani, AQ Xu, MA Hossain ",2022 ,Healthcare Analytics,Elsevier, 179,60.0
634,[HTML][HTML] Machine learning for numerical weather and climate modelling: a review,CO de Burgh-Day… ,2023 ,Geoscientific Model …,gmd.copernicus.org, 37,18.0
635,[PDF][PDF] Detection Collision Flows in SDN Based 5G Using Machine Learning Algorithms.,"A Aqdus, R Amin, S Ramzan… ",2023 ,… Materials & Continua,cdn.techscience.cn, 70,35.0
636,Machine learning for observational cosmology,"K Moriwaki, T Nishimichi… ",2023 ,Reports on Progress in …,iopscience.iop.org, 14,7.0
637,Energy demand forecasting using fused machine learning approaches,TM Ghazal ,2022 ,Intelligent Automation & Soft …,research.skylineuniversity.ac.ae, 81,27.0
638,"Machine learning and deep learning based computational approaches in automatic microorganisms image recognition: methodologies, challenges, and …","P Rani, S Kotwal, J Manhas, V Sharma… ",2022 ,… Methods in Engineering,Springer, 86,29.0
639,[HTML][HTML] Machine learning in sustainable ship design and operation: A review,"L Huang, B Pena, Y Liu, E Anderlini ",2022 ,Ocean Engineering,Elsevier, 32,11.0
640,Sources of Uncertainty in Machine Learning--A Statisticians' View,"C Gruber, PO Schenk, M Schierholz, F Kreuter… ",2023 ,arXiv preprint arXiv …,arxiv.org, 31,16.0
641,[HTML][HTML] Crops yield prediction based on machine learning models: Case of West African countries,"LS Cedric, WYH Adoni, R Aworka, JT Zoueu… ",2022 ,Smart Agricultural …,Elsevier, 114,38.0
642,A Novel Approach to Optimize Prediction Method for Chronic Kidney Disease with the Help of Machine Learning Algorithm,"SS Vellela, LR Vuyyuru… ",2023 ,… and Informatics (IC3I …,ieeexplore.ieee.org, 26,13.0
643,[HTML][HTML] DEM resolution effects on machine learning performance for flood probability mapping,"M Avand, A Kuriqi, M Khazaei… ",2022 ,Journal of Hydro …,Elsevier, 98,33.0
644,Machine learning approach for autonomous detection and classification of COVID-19 virus,"OR Shahin, HH Alshammari, AI Taloba… ",2022 ,Computers and …,Elsevier, 51,17.0
645,Machine learning for enhancing transportation security: A comprehensive analysis of electric and flying vehicle systems,"H Alqahtani, G Kumar ",2024 ,Engineering Applications of Artificial Intelligence,Elsevier, 45,45.0
646,"Machine learning methods, databases and tools for drug combination prediction","L Wu, Y Wen, D Leng, Q Zhang, C Dai… ",2022 ,Briefings in …,academic.oup.com, 71,24.0
647,[HTML][HTML] A survey: Distributed Machine Learning for 5G and beyond,"O Nassef, W Sun, H Purmehdi, M Tatipamula… ",2022 ,Computer Networks,Elsevier, 58,19.0
648,Deep learning and machine learning with grid search to predict later occurrence of breast Cancer metastasis using clinical data,"X Jiang, C Xu ",2022 ,Journal of clinical medicine,mdpi.com, 62,21.0
649,"A systematic literature review on multimodal machine learning: Applications, challenges, gaps and future directions","A Barua, MU Ahmed, S Begum ",2023 ,IEEE Access,ieeexplore.ieee.org, 33,16.0
650,Machine Learning Descriptors for Data‐Driven Catalysis Study,"LH Mou, TT Han, PES Smith, E Sharman… ",2023 ,Advanced …,Wiley Online Library, 32,16.0
651,Machine learning methodology for identifying vehicles using image processing,"M Hasanvand, M Nooshyar… ",2023 ,Artificial Intelligence …,ojs.bonviewpress.com, 46,23.0
652,[HTML][HTML] Remaining Useful Life prediction and challenges: A literature review on the use of Machine Learning Methods,"C Ferreira, G Gonçalves ",2022 ,Journal of Manufacturing Systems,Elsevier, 141,47.0
653,Machine learning assessment under the development of green technology innovation: A perspective of energy transition,"W Chen, W Zou, K Zhong, A Aliyeva ",2023 ,Renewable Energy,Elsevier, 27,14.0
654,What is machine learning?,"O Baloglu, SQ Latifi, A Nazha ",2022 ,… of Disease in Childhood-Education and …,ep.bmj.com, 32,11.0
655,Machine-learning interpretability techniques for seismic performance assessment of infrastructure systems,"S Mangalathu, K Karthikeyan, DC Feng, JS Jeon ",2022 ,Engineering Structures,Elsevier, 88,29.0
656,A comprehensive empirical study of bias mitigation methods for machine learning classifiers,"Z Chen, JM Zhang, F Sarro, M Harman ",2023 ,ACM Transactions on Software …,dl.acm.org, 61,30.0
657,Artificial intelligence and machine learning in finance: A bibliometric review,"S Ahmed, MM Alshater, A El Ammari… ",2022 ,Research in International …,Elsevier, 200,67.0
658,Machine learning in physics and geometry,"YH He, E Heyes, E Hirst ",2023 ,Artificial Intelligence,books.google.com, 15,8.0
659,[BOOK][B] Personalized machine learning,J McAuley ,2022 ,2022 ,books.google.com, 27,9.0
660,[HTML][HTML] Learning from major accidents: A machine learning approach,"N Tamascelli, R Solini, N Paltrinieri… ",2022 ,Computers & Chemical …,Elsevier, 37,12.0
661,Ground truth tracings (GTT): On the epistemic limits of machine learning,EB Kang ,2023 ,Big data & society,journals.sagepub.com, 22,11.0
662,When confidence meets accuracy: Exploring the effects of multiple performance indicators on trust in machine learning models,"A Rechkemmer, M Yin ",2022 ,Proceedings of the 2022 chi conference on …,dl.acm.org, 80,27.0
663,FuXi: A cascade machine learning forecasting system for 15-day global weather forecast,"L Chen, X Zhong, F Zhang, Y Cheng, Y Xu… ",2023 ,npj Climate and …,nature.com, 60,30.0
664,The disagreement problem in explainable machine learning: A practitioner's perspective,"S Krishna, T Han, A Gu, J Pombra, S Jabbari… ",2022 ,arXiv preprint arXiv …,arxiv.org, 199,66.0
665,[HTML][HTML] SurvSHAP (t): time-dependent explanations of machine learning survival models,"M Krzyziński, M Spytek, H Baniecki, P Biecek ",2023 ,Knowledge-Based Systems,Elsevier, 60,30.0
666,When smart cities get smarter via machine learning: An in-depth literature review,"SS Band, S Ardabili, M Sookhak… ",2022 ,IEEE …,ieeexplore.ieee.org, 61,20.0
667,[HTML][HTML] A predictive analytics approach for stroke prediction using machine learning and neural networks,"S Dev, H Wang, CS Nwosu, N Jain, B Veeravalli… ",2022 ,Healthcare …,Elsevier, 132,44.0
668,Disclosure sentiment: Machine learning vs. dictionary methods,"R Frankel, J Jennings, J Lee ",2022 ,Management Science,pubsonline.informs.org, 102,34.0
669,Novel machine learning applications on fly ash based concrete: an overview,"G Khambra, P Shukla ",2023 ,Materials Today: Proceedings,Elsevier, 106,53.0
670,Machine learning for anxiety detection using biosignals: a review,"L Ancillon, M Elgendi, C Menon ",2022 ,Diagnostics,mdpi.com, 46,15.0
671,Change detection in remote sensing image data comparing algebraic and machine learning methods,"A Goswami, D Sharma, H Mathuku, SMP Gangadharan… ",2022 ,Electronics,mdpi.com, 161,54.0
672,Machine learning for smart agriculture and precision farming: towards making the fields talk,"TA Shaikh, WA Mir, T Rasool, S Sofi ",2022 ,Archives of Computational Methods …,Springer, 81,27.0
673,Adversarial machine learning for network intrusion detection systems: A comprehensive survey,"K He, DD Kim, MR Asghar ",2023 ,IEEE Communications Surveys & …,ieeexplore.ieee.org, 138,69.0
674,Robustness of local predictions in atomistic machine learning models,"S Chong, F Grasselli, C Ben Mahmoud… ",2023 ,Journal of Chemical …,ACS Publications, 17,8.0
675,[HTML][HTML] APLUS: a Python library for usefulness simulations of machine learning models in healthcare,"M Wornow, EG Ross, A Callahan, NH Shah ",2023 ,Journal of biomedical …,Elsevier, 21,10.0
676,The role of artificial intelligence and machine learning amid the COVID-19 pandemic: What lessons are we learning on 4IR and the sustainable development goals,D Mhlanga ,2022 ,International Journal of Environmental Research and …,mdpi.com, 129,43.0
677,Critical tools for machine learning: Working with intersectional critical concepts in machine learning systems design,"G Klumbytė, C Draude, AS Taylor ",2022 ,… of the 2022 ACM Conference on …,dl.acm.org, 23,8.0
678,Machine learning and deep learning techniques for breast cancer diagnosis and classification: a comprehensive review of medical imaging studies,"M Radak, HY Lafta, H Fallahi ",2023 ,Journal of Cancer Research and Clinical …,Springer, 39,20.0
679,First machine learning gravitational-wave search mock data challenge,"MB Schäfer, O Zelenka, AH Nitz, H Wang, S Wu… ",2023 ,Physical Review D,APS, 43,22.0
680,Predicting air quality index using ensemble machine learning,"M Hardini, RA Sunarjo, M Asfi, MHR Chakim… ",2023 ,ADI Journal on Recent …,adi-journal.org, 24,12.0
681,[HTML][HTML] A machine learning application in wine quality prediction,"P Bhardwaj, P Tiwari, K Olejar Jr, W Parr… ",2022 ,Machine Learning with …,Elsevier, 57,19.0
682,Divination of air quality assessment using ensembling machine learning approach,"P William, DN Paithankar, PM Yawalkar… ",2023 ,2023 International …,ieeexplore.ieee.org, 41,20.0
683,Review of machine learning approach on credit card fraud detection,"R Bin Sulaiman, V Schetinin, P Sant ",2022 ,Human-Centric Intelligent Systems,Springer, 117,39.0
684,Complex features extraction with deep learning model for the detection of COVID19 from CT scan images using ensemble based machine learning approach,"MR Islam, M Nahiduzzaman ",2022 ,Expert Systems with Applications,Elsevier, 98,33.0
